Scomber japonicus
Scomber scombrus
Scomberesox saurus
Scomberomorus maculatus
Scophthalmus aquosus
Scorpaena brasiliensis
Scorpaena inermis
Scorpaena isthmensis
Scorpaena plumieri
Scyliorhinus retifer
Selar crumenophthalmus
Selene setapinnis
Selene vomer
Seriola dumerili
Seriola lalandi
Seriola rivoliana
Seriola zonata
Sphoeroides maculatus
Sphoeroides testudineus
Sphyraena barracuda
Sphyraena borealis
Sphyrna lewini
Sphyrna tiburo
Sphyrna zygaena
Squalus acanthias
Squatina dumeril
Stenotomus chrysops
Stephanolepis hispidus
Stichaeus punctatus
Strongylura marina
Syacium papillosum
Symbolophorus veranyi
Symphurus plagiusa
Syngnathus floridae
Syngnathus fuscus
Syngnathus louisianae
Syngnathus pelagicus
Synodus foetens
Tautoga onitis
Tautogolabrus adspersus
Tetragonurus atlanticus
Torpedo nobiliana
Trachinocephalus myops
Trachinotus carolinus
Trachinotus falcatus
Trachurus lathami
Trachurus trachurus
Trichiurus lepturus
Trinectes maculatus
Tylosurus acus
Ulvaria subbifurcata
Umbra pygmaea
Upeneus parvus
Uraspis secunda
Urophycis chuss
Urophycis earlii
Urophycis regia
Urophycis tenuis
Vinciguerria nimbaria
Zenopsis conchifer
Zoarces americanus
